DIACL_ID	CHECKED	COMMENT	CONCEPT	CONCEPT_ID	CORRECT	DIACL_ID	ENGLISH	FORM	GLOTTOCODE	LANGUAGE	LATITUDE	LONGITUDE	PROBLEM
43900-1001-1	F		ALL	98		28163	all (of a number)	sarva-	sans1269	Sanskrit	20	77	
43900-1001-2	T		ALL	98	T	28164	all (of a number)	sama-	sans1269	Sanskrit	20	77	
43900-1001-3	F		ALL	98		28165	all (of a number)	viśva-	sans1269	Sanskrit	20	77	
43900-1002-1	F		ASH	646		28166	ash(es)	āsa-	sans1269	Sanskrit	20	77	
43900-1002-2	F		ASH	646		28167	ash(es)	bhasman-	sans1269	Sanskrit	20	77	
43900-1002-3	F		ASH	646		28168	ash(es)	rakṣā-	sans1269	Sanskrit	20	77	
43900-1003-1	F		BARK	1204		28169	bark (of tree)	cárman-	sans1269	Sanskrit	20	77	
43900-1003-2	F		BARK	1204		28170	bark (of tree)	tvác-	sans1269	Sanskrit	20	77	
43900-1003-3	F		BARK	1204		28171	bark (of tree)	challi-	sans1269	Sanskrit	20	77	
43900-1003-4	F		BARK	1204		28172	bark (of tree)	valká-, valkala-	sans1269	Sanskrit	20	77	
43900-1004-1	F		BELLY OR STOMACH	2114		28173	belly (abdomen, stomach)	jaṭhara-	sans1269	Sanskrit	20	77	
43900-1004-2	F		BELLY OR STOMACH	2114		28174	belly (abdomen, stomach)	udara-	sans1269	Sanskrit	20	77	
43900-1004-3	T		BELLY OR STOMACH	2114	T	28175	belly (abdomen, stomach)	kukṣí-	sans1269	Sanskrit	20	77	
43900-1005-1	F		BIG	1202		28176	big	mahānt-, mah-	sans1269	Sanskrit	20	77	
43900-1005-2	F		BIG	1202		28177	big	vaḍra-	sans1269	Sanskrit	20	77	
43900-1005-3	F		BIG	1202		28178	big	sthūlá-	sans1269	Sanskrit	20	77	
43900-1006-1	F		BIRD	937		28179	bird	pakṣin-	sans1269	Sanskrit	20	77	
43900-1006-2	F		BIRD	937		28180	bird	vi-	sans1269	Sanskrit	20	77	
43900-1007-1	T		BITE	1403	T	28181	to bite	*ḍakk-, *ḍaṅk, *ḍaṅkh-, *daṅk-	sans1269	Sanskrit	20	77	
43900-1007-2	F		BITE	1403		28182	to bite	daṁś-	sans1269	Sanskrit	20	77	
43900-1008-1	F		BLACK OR DARK	2633		28183	black (colour)	śyāma-	sans1269	Sanskrit	20	77	
43900-1008-2	F		BLACK OR DARK	2633		28184	black (colour)	kṛṣṇa-	sans1269	Sanskrit	20	77	
43900-1008-3	F		BLACK OR DARK	2633		28185	black (colour)	kāla-	sans1269	Sanskrit	20	77	
43900-1008-4	F		BLACK OR DARK	2633		28186	black (colour)	ásita-	sans1269	Sanskrit	20	77	
43900-1008-5	T		BLACK OR DARK	2633	T	28187	black (colour)	nīla-	sans1269	Sanskrit	20	77	
43900-1009-1	F		BLOOD	946		28188	blood (n)	rudhira-	sans1269	Sanskrit	20	77	
43900-1009-2	F		BLOOD	946		28189	blood (n)	ásr̥k-, asnás	sans1269	Sanskrit	20	77	
43900-1009-3	F		BLOOD	946		28190	blood (n)	lohita-	sans1269	Sanskrit	20	77	
43900-1009-4	F		BLOOD	946		28191	blood (n)	śōṇita-	sans1269	Sanskrit	20	77	
43900-1010-1	T		BONE	1394	T	28192	bone	aṣṭhi-, asthi-	sans1269	Sanskrit	20	77	
43900-1010-2	F		BONE	1394		28193	bone	haḍḍa-	sans1269	Sanskrit	20	77	
43900-1011-1	F		BREAST	1402		28194	breast	stana-	sans1269	Sanskrit	20	77	
43900-1011-2	F		BREAST	1402		28195	breast	kuca-	sans1269	Sanskrit	20	77	
43900-1011-3	T		BREAST	1402	T	28196	breast	úras-	sans1269	Sanskrit	20	77	
43900-1011-4	F		BREAST	1402		28197	breast	vákṣas-	sans1269	Sanskrit	20	77	
43900-1011-5	F		BREAST	1402		28198	breast	krōḍá-	sans1269	Sanskrit	20	77	
43900-1012-1	F		BURNING	1428		28199	to burn (intr.)	dah	sans1269	Sanskrit	20	77	
43900-1012-2	F		BURNING	1428		28200	to burn (intr.)	oṣ-	sans1269	Sanskrit	20	77	
43900-1014-1	T		CLOUD	1489	T	28201	cloud (not fog)	abhra-	sans1269	Sanskrit	20	77	
43900-1014-2	F		CLOUD	1489		28202	cloud (not fog)	ghana-	sans1269	Sanskrit	20	77	
43900-1014-3	F		CLOUD	1489		28203	cloud (not fog)	meghá-	sans1269	Sanskrit	20	77	
43900-1014-4	F		CLOUD	1489		28204	cloud (not fog)	nábhas-	sans1269	Sanskrit	20	77	
43900-1015-1	F		COLD (OF WEATHER)	2483		28205	cold (of weather)	śītá-	sans1269	Sanskrit	20	77	
43900-1015-2	F		COLD (OF WEATHER)	2483		28206	cold (of weather)	śiśira-	sans1269	Sanskrit	20	77	
43900-1016-1	F		COME	1446		28207	to come	ā-gam-	sans1269	Sanskrit	20	77	
43900-1016-2	T		COME	1446	T	28208	to come	(ā)i-	sans1269	Sanskrit	20	77	
43900-1016-3	F		COME	1446		28209	to come	ā́yāti	sans1269	Sanskrit	20	77	
43900-1017-1	F		DIE	1494		28210	to die	mṛ-, mṛta-, mṛti-, maraṇa-, mrṭyu-	sans1269	Sanskrit	20	77	
43900-1018-1	T		DOG	2009	T	28211	dog	śván-, śuna-	sans1269	Sanskrit	20	77	
43900-3021-1	T		DOG	2009	T	28211	dog	śván-, śuna-	sans1269	Sanskrit	20	77	
43900-1018-2	F		DOG	2009		28212	dog	bhaluha-	sans1269	Sanskrit	20	77	
43900-1018-3	F		DOG	2009		28213	dog	kurkurá-	sans1269	Sanskrit	20	77	
43900-1019-1	F		DRINK	1401		28214	to drink	pā-, píbati	sans1269	Sanskrit	20	77	
43900-1020-1	F		DRY	1398		28215	dry (adj)	śúṣka-	sans1269	Sanskrit	20	77	
43900-1021-1	F		EAR	1247		28216	ear	kárṇa-	sans1269	Sanskrit	20	77	
